Üretilecek Ürünler,Toplam Üretim Adeti,Toplam Maliyet,Toplam Gelir,Net Kar
T-shirt,133607,33314752.0,66954591.52,33639839.52
Şort,84426,35022075.0,44087369.32,9065294.32
Elbise,50421,32975334.0,45764927.58,12789593.58
Eşofman Üstü,38651,15808259.0,25654715.93,9846456.93
Pantolon,29651,18383620.0,20945717.62,2562097.62
Etek,23745,12181185.0,14201703.99,2020518.99
Bluz,22269,7326501.0,9921628.06,2595127.06
Gömlek,21345,13724835.0,19174081.35,5449246.35
Eşofman Altı,20127,11303109.0,13821843.81,2518734.81
Tayt,17097,7967202.0,10893606.95,2926404.95
Ceket,16854,14797812.0,17134738.02,2336926.02
Sweatshirt,13182,11560614.0,14901971.93,3341357.93
Şapka,8983,1473212.0,1598589.26,125377.26
Yağmurluk,6717,3385368.0,3723194.72,337826.72
Tulum,2541,1161237.0,1553431.52,392194.52
Papyon,844,438036.0,489372.98,51336.98
